combination,country,correction_bnusd_per_mha
cotton_wheat,AFG,-1.5952080488204956
cotton_wheat,AGO,-1.9206392765045166
cotton_wheat,ALB,7.5
cotton_wheat,ARG,7.5
cotton_wheat,ARM,7.5
cotton_wheat,AUS,-6.046213626861572
cotton_wheat,AZE,7.5
cotton_wheat,BDI,-0.986487865447998
cotton_wheat,BGD,-1.7510145902633667
cotton_wheat,BGR,7.5
cotton_wheat,BOL,7.5
cotton_wheat,BRA,-2.717313766479492
cotton_wheat,BWA,-1.3096258640289307
cotton_wheat,CHN,-6.671764373779297
cotton_wheat,COD,-1.9201487302780151
cotton_wheat,DZA,7.5
cotton_wheat,EGY,-2.4428935050964355
cotton_wheat,ESP,-1.7609281539916992
cotton_wheat,ETH,-2.8228458166122437
cotton_wheat,GEO,7.5
cotton_wheat,GRC,-1.7193666696548462
cotton_wheat,HND,-1.997921347618103
cotton_wheat,IND,-1.6127487421035767
cotton_wheat,IRN,-3.4113048315048218
cotton_wheat,IRQ,-1.821287751197815
cotton_wheat,ISR,-0.5829929411411285
cotton_wheat,JOR,-2.197067618370056
cotton_wheat,KAZ,-1.1165745258331299
cotton_wheat,KEN,-0.7473786175251007
cotton_wheat,KGZ,-1.4271141290664673
cotton_wheat,KOR,7.5
cotton_wheat,LBN,7.5
cotton_wheat,LSO,3.31293323636055
cotton_wheat,MAR,-2.9538320302963257
cotton_wheat,MDG,-1.6943604946136475
cotton_wheat,MEX,-3.8441927433013916
cotton_wheat,MKD,-1.7522202730178833
cotton_wheat,MMR,7.5
cotton_wheat,MOZ,-1.3748512864112854
cotton_wheat,MWI,2.7887847423553467
cotton_wheat,NAM,-2.4965704679489136
cotton_wheat,NER,-0.7983721792697906
cotton_wheat,NGA,-2.009230375289917
cotton_wheat,NPL,7.5
cotton_wheat,OMN,-0.0
cotton_wheat,PAK,-1.5079033374786377
cotton_wheat,PRT,7.5
cotton_wheat,PRY,-0.7615677118301392
cotton_wheat,PSE,-2.5268391370773315
cotton_wheat,ROU,-0.0
cotton_wheat,RUS,7.5
cotton_wheat,RWA,-1.5867229104042053
cotton_wheat,SDN,-1.730271339416504
cotton_wheat,SOM,2.729339122772217
cotton_wheat,SWZ,-1.7671488523483276
cotton_wheat,SYR,-2.547218084335327
cotton_wheat,TJK,-4.083103179931641
cotton_wheat,TKM,-1.658170223236084
cotton_wheat,TUN,7.5
cotton_wheat,TUR,-1.3289867639541626
cotton_wheat,TZA,-1.4957273602485657
cotton_wheat,UGA,-1.7584633231163025
cotton_wheat,URY,7.5
cotton_wheat,USA,-1.547662377357483
cotton_wheat,UZB,-2.7247159481048584
cotton_wheat,YEM,-2.346269130706787
cotton_wheat,ZAF,-2.8606035709381104
cotton_wheat,ZMB,7.5
cotton_wheat,ZWE,3.7780861854553223
double_rice,AFG,7.5
double_rice,AGO,7.5
double_rice,ALB,-0.0
double_rice,ARG,7.5
double_rice,AUS,7.5
double_rice,AZE,7.5
double_rice,BDI,3.459120362997055
double_rice,BEN,-2.27530038356781
double_rice,BFA,-2.307965397834778
double_rice,BGD,-0.8014280200004578
double_rice,BLZ,2.15325129032135
double_rice,BOL,7.5
double_rice,BRA,7.5
double_rice,BRN,-2.940953493118286
double_rice,BTN,7.5
double_rice,BWA,-0.0
double_rice,CAF,7.5
double_rice,CHL,7.5
double_rice,CHN,-3.638684868812561
double_rice,CIV,7.5
double_rice,CMR,-2.4245405197143555
double_rice,COD,7.5
double_rice,COG,7.5
double_rice,COL,-2.8125067949295044
double_rice,CRI,-1.8621540665626526
double_rice,CUB,7.5
double_rice,DOM,2.074710249900818
double_rice,DZA,7.5
double_rice,ECU,-1.2538227438926697
double_rice,EGY,7.5
double_rice,ERI,7.5
double_rice,ESP,7.5
double_rice,ETH,7.5
double_rice,FJI,7.5
double_rice,FRA,7.5
double_rice,GAB,7.5
double_rice,GEO,7.5
double_rice,GHA,-0.86676886677742
double_rice,GIN,-1.135214924812317
double_rice,GMB,-0.14571018517017365
double_rice,GNB,-2.637994170188904
double_rice,GNQ,7.5
double_rice,GRC,7.5
double_rice,GTM,2.298312783241272
double_rice,GUF,7.5
double_rice,GUY,7.5
double_rice,HND,7.5
double_rice,HTI,2.451133131980896
double_rice,IDN,-2.7724738121032715
double_rice,IND,-1.7454763650894165
double_rice,IRN,7.5
double_rice,IRQ,7.5
double_rice,ITA,7.5
double_rice,JPN,-7.0643720626831055
double_rice,KEN,7.5
double_rice,KHM,-2.599738359451294
double_rice,KOR,0.0
double_rice,LAO,-2.6285818815231323
double_rice,LBR,7.5
double_rice,LKA,3.3538200557231903
double_rice,LSO,-0.0
double_rice,MAR,7.5
double_rice,MDG,3.566383972764015
double_rice,MEX,7.5
double_rice,MKD,7.5
double_rice,MLI,-0.3003535568714142
double_rice,MMR,-2.776987075805664
double_rice,MOZ,7.5
double_rice,MRT,-2.035184144973755
double_rice,MUS,7.5
double_rice,MWI,-1.9879395365715027
double_rice,MYS,-0.9627632796764374
double_rice,NAM,7.5
double_rice,NER,7.5
double_rice,NGA,-0.5721426010131836
double_rice,NIC,0.46788736432790756
double_rice,NPL,3.4711324274539948
double_rice,PAK,7.5
double_rice,PAN,-2.177530288696289
double_rice,PER,7.5
double_rice,PHL,-1.6920741200447083
double_rice,PNG,7.5
double_rice,PRI,7.5
double_rice,PRT,7.5
double_rice,PRY,7.5
double_rice,RWA,-3.4936609268188477
double_rice,SAU,7.5
double_rice,SDN,7.5
double_rice,SEN,0.0678448062390089
double_rice,SLB,7.5
double_rice,SLE,3.564606726169586
double_rice,SLV,7.5
double_rice,SOM,7.5
double_rice,SSD,7.5
double_rice,SUR,7.5
double_rice,SWZ,7.5
double_rice,SYR,7.5
double_rice,TCD,-1.4169777631759644
double_rice,TGO,-0.3228706866502762
double_rice,THA,-0.9933395385742188
double_rice,TJK,7.5
double_rice,TKM,7.5
double_rice,TLS,7.5
double_rice,TTO,7.5
double_rice,TUN,-0.0
double_rice,TUR,7.5
double_rice,TWN,-1.8986664414405823
double_rice,TZA,7.5
double_rice,UGA,7.5
double_rice,URY,7.5
double_rice,USA,7.5
double_rice,UZB,7.5
double_rice,VEN,7.5
double_rice,VNM,-2.0829989910125732
double_rice,YEM,-0.0
double_rice,ZAF,7.5
double_rice,ZMB,7.5
double_rice,ZWE,7.5
maize_soybean,AFG,-0.36834096908569336
maize_soybean,AGO,-1.5214587450027466
maize_soybean,ALB,7.5
maize_soybean,ARG,-0.14088768512010574
maize_soybean,ARM,7.5
maize_soybean,AUS,1.358855128288269
maize_soybean,AUT,4.534917175769806
maize_soybean,AZE,0.8574774861335754
maize_soybean,BDI,-1.1291301846504211
maize_soybean,BEL,7.5
maize_soybean,BEN,-0.864732563495636
maize_soybean,BFA,-0.6915163397789001
maize_soybean,BGD,7.5
maize_soybean,BGR,7.5
maize_soybean,BIH,7.5
maize_soybean,BLZ,-1.533581018447876
maize_soybean,BOL,3.5874201208353043
maize_soybean,BRA,-0.3474487364292145
maize_soybean,BTN,3.947512686252594
maize_soybean,BWA,-0.02426181733608246
maize_soybean,CAF,-7.5
maize_soybean,CAN,-0.6935787200927734
maize_soybean,CHE,7.5
maize_soybean,CHN,-1.875643253326416
maize_soybean,CIV,-1.0517835021018982
maize_soybean,CMR,-1.1753299832344055
maize_soybean,COD,-1.6665139198303223
maize_soybean,COG,-1.5524505376815796
maize_soybean,COL,-0.5641129612922668
maize_soybean,CRI,-1.0713813304901123
maize_soybean,CUB,7.5
maize_soybean,CZE,7.5
maize_soybean,DEU,7.5
maize_soybean,DZA,-0.0
maize_soybean,ECU,-0.8420949578285217
maize_soybean,EGY,-1.7173116207122803
maize_soybean,ESP,-1.1982262134552002
maize_soybean,ETH,-0.26363644003868103
maize_soybean,FRA,7.5
maize_soybean,GAB,-1.311855673789978
maize_soybean,GEO,-0.014212247915565968
maize_soybean,GHA,-0.9053362011909485
maize_soybean,GIN,7.5
maize_soybean,GRC,3.186633288860321
maize_soybean,GTM,-0.7608882188796997
maize_soybean,HND,-0.5387400984764099
maize_soybean,HRV,7.5
maize_soybean,HUN,0.23578396439552307
maize_soybean,IDN,0.002664275001734495
maize_soybean,IND,-0.8897814154624939
maize_soybean,IRN,-1.318925142288208
maize_soybean,IRQ,-0.7942403256893158
maize_soybean,ISR,7.5
maize_soybean,ITA,7.5
maize_soybean,JOR,-0.0
maize_soybean,KAZ,7.5
maize_soybean,KEN,-0.4876989722251892
maize_soybean,KGZ,-0.4609765112400055
maize_soybean,KHM,-0.7535949647426605
maize_soybean,KOR,-0.5010929703712463
maize_soybean,LAO,-0.24195507913827896
maize_soybean,LBN,7.5
maize_soybean,LKA,-1.0605616569519043
maize_soybean,LSO,7.5
maize_soybean,LUX,7.5
maize_soybean,MAR,7.5
maize_soybean,MDA,7.5
maize_soybean,MEX,-0.27350837737321854
maize_soybean,MKD,7.5
maize_soybean,MLI,-0.8302015066146851
maize_soybean,MMR,-1.0919128060340881
maize_soybean,MNE,7.5
maize_soybean,MOZ,3.7639795625582337
maize_soybean,MWI,3.5732914954423904
maize_soybean,NGA,-0.8235953450202942
maize_soybean,NIC,-0.35855451226234436
maize_soybean,NLD,7.5
maize_soybean,NPL,3.480672299861908
maize_soybean,PAK,-0.875553697347641
maize_soybean,PER,7.5
maize_soybean,POL,7.5
maize_soybean,PRT,7.5
maize_soybean,PRY,-0.5678771436214447
maize_soybean,ROU,3.957804352045059
maize_soybean,RUS,7.5
maize_soybean,RWA,-0.3930656760931015
maize_soybean,SDN,-0.6107593774795532
maize_soybean,SLV,-0.982840359210968
maize_soybean,SRB,7.5
maize_soybean,SSD,7.5
maize_soybean,SVK,7.5
maize_soybean,SVN,7.5
maize_soybean,SWZ,-0.914207398891449
maize_soybean,SYR,7.5
maize_soybean,TCD,3.5093756914138794
maize_soybean,TGO,-0.4277437776327133
maize_soybean,THA,-0.5364570021629333
maize_soybean,TJK,7.5
maize_soybean,TKM,7.5
maize_soybean,TLS,4.06027552485466
maize_soybean,TUR,7.5
maize_soybean,TWN,-0.0
maize_soybean,TZA,-0.4137718230485916
maize_soybean,UGA,-1.431039571762085
maize_soybean,UKR,7.5
maize_soybean,URY,-0.25373270362615585
maize_soybean,USA,-0.9644927978515625
maize_soybean,UZB,7.5
maize_soybean,VEN,-0.9532034397125244
maize_soybean,VNM,-0.4869907647371292
maize_soybean,ZAF,-0.3208414912223816
maize_soybean,ZMB,-0.6546103358268738
maize_soybean,ZWE,0.8771634697914124
rice_maize,AFG,-1.7281314134597778
rice_maize,AGO,-2.376017928123474
rice_maize,ALB,-0.0
rice_maize,ARG,7.5
rice_maize,ARM,-0.0
rice_maize,AUS,-1.7170004844665527
rice_maize,AZE,-2.7783961296081543
rice_maize,BDI,-0.7229403853416443
rice_maize,BEN,-1.6560019850730896
rice_maize,BGD,-0.2345089465379715
rice_maize,BGR,7.5
rice_maize,BLZ,-2.591189384460449
rice_maize,BOL,7.5
rice_maize,BRA,-0.28851568698883057
rice_maize,BTN,-0.7812106907367706
rice_maize,BWA,-0.0
rice_maize,CAF,-2.3874566555023193
rice_maize,CAN,-0.0
rice_maize,CHL,-1.7879591584205627
rice_maize,CHN,-3.1381964683532715
rice_maize,CIV,-0.9518814086914062
rice_maize,CMR,7.5
rice_maize,COD,-2.5160088539123535
rice_maize,COL,-1.9876278638839722
rice_maize,COM,-2.392709732055664
rice_maize,CUB,7.5
rice_maize,DOM,2.334658145904541
rice_maize,DZA,7.5
rice_maize,ECU,-0.6110467314720154
rice_maize,EGY,-2.5272467136383057
rice_maize,ERI,7.5
rice_maize,ESP,-3.4207522869110107
rice_maize,ETH,7.5
rice_maize,FRA,7.5
